pa_section,pa_name,pa_statute,ucr_description,ucr_code_1,ucr_name_1,ucr_code_2,ucr_name_2,ucr_code_3,ucr_name_3,ucr_code_4,ucr_name_4,ucr_code_5,ucr_name_5,ucr_code_6,ucr_name_6,ucr_code_7,ucr_name_7,ucr_code_8,ucr_name_8
1001,runaway,SC,special code,290,runaways,,,,,,,,,,,,,,
1272,fireworks-sale prohibited/displays/permits,FW,fireworks law,260,all other offenses (except traffic),,,,,,,,,,,,,,
1273,fireworks-bond requirement,FW,fireworks law,260,all other offenses (except traffic),,,,,,,,,,,,,,
1275.1,fireworks-agriculture permits,FW,fireworks law,260,all other offenses (except traffic),,,,,,,,,,,,,,
1276.1,fireworks-shipment/evidence of permit required,FW,fireworks law,260,all other offenses (except traffic),,,,,,,,,,,,,,
1276.2,fireworks-registration of displays for profit,FW,fireworks law,260,all other offenses (except traffic),,,,,,,,,,,,,,
2101 A,fail to display flag public mtgs,CC,crimes code,240,disorderly conduct,,,,,,,,,,,,,,
2102 A1,make flag for display/exhibition,CC,crimes code,240,disorderly conduct,,,,,,,,,,,,,,
2102 A2,expose mark/defile flag pubc view,CC,crimes code,240,disorderly conduct,,,,,,,,,,,,,,
2102 A3,mfr article w/flag for adv trade,CC,crimes code,240,disorderly conduct,,,,,,,,,,,,,,
2102 A4,public/private mutilating flag,CC,crimes code,240,disorderly conduct,,,,,,,,,,,,,,
2103,maliciously take down etc flag,CC,crimes code,240,disorderly conduct,,,,,,,,,,,,,,
2500,suicide,SC,special code,999,suicide,,,,,,,,,,,,,,
2501 A,criminal homicide,CC,crimes code,01A,murder and nonnegligent manslaughter,01b,manslaughter by negligence,,,,,,,,,,,,
2502 A,murder of the first degree,CC,crimes code,01A,murder and nonnegligent manslaughter,,,,,,,,,,,,,,
2502 B,murder of the second degree,CC,crimes code,01A,murder and nonnegligent manslaughter,,,,,,,,,,,,,,
2502 C,murder of the third degree,CC,crimes code,01A,murder and nonnegligent manslaughter,,,,,,,,,,,,,,
2503 A1,vol manslaught-provoc ind killed,CC,crimes code,01A,murder and nonnegligent manslaughter,,,,,,,,,,,,,,
2503 A2,vol manslaught-provoc from other-negligence,CC,crimes code,01B,manslaughter by negligence,,,,,,,,,,,,,,
2503 B,vol manslaught-unr belief justfy,CC,crimes code,01A,murder and nonnegligent manslaughter,,,,,,,,,,,,,,
2504 A,involuntary manslaughter,CC,crimes code,01B,manslaughter by negligence,,,,,,,,,,,,,,
2505 A,causing suicide,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
2505 B,aiding suicide,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
2506 A,murder by delivery of drugs,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
2603 A,criminal homicide of unborn child - in general,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
2604 A1,murder of unborn child-first degree,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
2604 B1,murder of unborn child-second degree,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
2604 C1,murder of unborn child-third degree,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
2605 A1,vol manslaughter of unborn child-mother,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
2605 A2,vol manslaughter of unborn child-another,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
2605 B,vol manslaughter of unborn child-unreas belief,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
2606 A,aggravated assault of unborn child,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
2701 A1,simple assault-general,CC,crimes code,04E,other assaults - not aggravated,,,,,,,,,,,,,,
2701 A2,simple assault-bodily inj by neg w/deadly weapon,CC,crimes code,04E,other assaults - not aggravated,,,,,,,,,,,,,,
2701 A3,simple assault-fear of serious inj,CC,crimes code,04A,assault firearm,04b,assault knife or cutting instrument,04c,assault other dangerous weapon,04e,other assaults - not aggravated,,,,,,,,
2701 A4,simple assault - conceal needle and penetrate officer,CC,crimes code,04C,assault other dangerous weapon,,,,,,,,,,,,,,
2702 A1,aggravated assault-general,CC,crimes code,04A,assault firearm,04b,assault knife or cutting instrument,04c,assault other dangerous weapon,04d,"assault hands, fist, feet, etc.",,,,,,,,
2702 A2,"aggravated assault-serious inj to police, etc",CC,crimes code,04A,assault firearm,04b,assault knife or cutting instrument,04c,assault other dangerous weapon,04d,"assault hands, fist, feet, etc.",,,,,,,,
2702 A3,"aggravated assault-inj to police, etc",CC,crimes code,04A,assault firearm,04b,assault knife or cutting instrument,04c,assault other dangerous weapon,04d,"assault hands, fist, feet, etc.",04e,other assaults - not aggravated,,,,,,
2702 A4,aggravated assault-inj w/deadly weapon,CC,crimes code,04A,assault firearm,04b,assault knife or cutting instrument,04c,assault other dangerous weapon,04d,"assault hands, fist, feet, etc.",,,,,,,,
2702 A5,"aggravated assault-inj to teacher, student, etc",CC,crimes code,04A,assault firearm,04b,assault knife or cutting instrument,04c,assault other dangerous weapon,04d,"assault hands, fist, feet, etc.",04e,other assaults - not aggravated,,,,,,
2702 A6,"aggravated assault-police, etc in fear of ser inj",CC,crimes code,04A,assault firearm,04b,assault knife or cutting instrument,04c,assault other dangerous weapon,04d,"assault hands, fist, feet, etc.",,,,,,,,
2703,assault by prisoner,CC,crimes code,04A,assault firearm,04b,assault knife or cutting instrument,04c,assault other dangerous weapon,04d,"assault hands, fist, feet, etc.",,,,,,,,
2703.1,aggravated harassment by prisoner,CC,crimes code,04E,other assaults - not aggravated,,,,,,,,,,,,,,
2704,assault by life prisoner,CC,crimes code,04A,assault firearm,04b,assault knife or cutting instrument,04c,assault other dangerous weapon,04d,"assault hands, fist, feet, etc.",,,,,,,,
2705,reckless endanger another person,CC,crimes code,04E,other assaults - not aggravated,,,,,,,,,,,,,,
2706 A1,terroristic threats-general,CC,crimes code,04E,other assaults - not aggravated,,,,,,,,,,,,,,
2706 A2,terroristic threats-cause evacuation,CC,crimes code,04E,other assaults - not aggravated,,,,,,,,,,,,,,
2706 A3,terroristic threats-serious public inconvenience,CC,crimes code,04E,other assaults - not aggravated,,,,,,,,,,,,,,
2707 A,propulsion/missle into occ veh,CC,crimes code,04C,assault other dangerous weapon,,,,,,,,,,,,,,
2707 B,propulsion/missles onto roadway,CC,crimes code,04C,assault other dangerous weapon,,,,,,,,,,,,,,
2707.1 A,discharge firearm into occupied structure,CC,crimes code,04E,other assaults - not aggravated,,,,,,,,,,,,,,
2707.2 A1,paintball guns and markers - carrying in veh,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
2708 A,tear gas agst person in labor dis,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
2709 A1,harassment/physical strike kick,CC,crimes code,04E,other assaults - not aggravated,,,,,,,,,,,,,,
2709 A2,harassment/follow about in pub,CC,crimes code,240,disorderly conduct,,,,,,,,,,,,,,
2709 A3,harassment-course of conduct/acts serve no purpose,CC,crimes code,240,disorderly conduct,,,,,,,,,,,,,,
2709 B1,stalking-fear of injury,CC,crimes code,04E,other assaults - not aggravated,04e,other assaults - not aggravated,240,disorderly conduct,,,,,,,,,,
2709 B2,stalking-substantial emotional distress,CC,crimes code,240,disorderly conduct,,,,,,,,,,,,,,
2710 A,ethnic intimidation,CC,crimes code,04E,other assaults - not aggravated,,,,,,,,,,,,,,
2712 A,assault on sports official,CC,crimes code,04E,other assaults - not aggravated,,,,,,,,,,,,,,
2713 A1,neglect of care-dep person-fail to provide care,CC,crimes code,04E,other assaults - not aggravated,,,,,,,,,,,,,,
2713 A2,"neglect of care-dep person-restraints, meds, isol",CC,crimes code,04E,other assaults - not aggravated,,,,,,,,,,,,,,
2714,unauth admin of intoxicant,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
2715 A1,bomb threats - places/sets bomb,CC,crimes code,04C,assault other dangerous weapon,,,,,,,,,,,,,,
2715 A2,bomb threats - causes placement/setting of bomb,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
2715 A3,bomb threats - reports w/o factual basis existance or,CC,crimes code,240,disorderly conduct,,,,,,,,,,,,,,
2715 A4,bomb threats - threatens placement/setting of bomb,CC,crimes code,04E,other assaults - not aggravated,,,,,,,,,,,,,,
2901 A1,kidnapping-ransom,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
2901 A2,kidnapping-facilitate a felony,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
2901 A3,kidnapping-inflict inj/terror,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
2901 A4,kidnapping-interfere w/pub off,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
2902 1,unlaw restraint-risk ser injury,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
2902 2,unlaw restraint-invol servitude,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
2903,false imprisonment,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
2904 A,interfer with custody of childrn,CC,crimes code,200,offenses against family & children,,,,,,,,,,,,,,
2905 A,interfer custody committed person,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
2906 A1,crim coercion-threat to commit crime,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
2906 A2,crim coercion-threat to accuse of crime,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
2906 A3,crim coercion-threat to expose secret,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
2906 A4,crim coercion-threat to take/withold official act,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
2907,disposition of ransom,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
2909 A,conceal whereabouts of child,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
2910,lure child into motor vehicle,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
3121 A1,rape-forcible compulsion,CC,crimes code,02A,rape by force,02b,assault to rape - attempts,,,,,,,,,,,,
3121 A2,rape-threat of forcible compulsn,CC,crimes code,02A,rape by force,02b,assault to rape - attempts,,,,,,,,,,,,
3121 A3,rape-unconscious victim,CC,crimes code,02A,rape by force,02b,assault to rape - attempts,,,,,,,,,,,,
3121 A4,rape-admin drug/intoxicant/other,CC,crimes code,02A,rape by force,02b,assault to rape - attempts,,,,,,,,,,,,
3121 A5,rape-mental ill/deficient victim,CC,crimes code,02A,rape by force,02b,assault to rape - attempts,,,,,,,,,,,,
3121 A6,rape-victim less than 13,CC,crimes code,02A,rape by force,02b,assault to rape - attempts,170,sex offenses (except 02 and 160),,,,,,,,,,
3122.1,statutory sexual assault,CC,crimes code,170,sex offenses (except 02 and 160),,,,,,,,,,,,,,
3123 A1,idsi-forcible compulsion,CC,crimes code,170,sex offenses (except 02 and 160),,,,,,,,,,,,,,
3123 A2,idsi-threat forcible complusion,CC,crimes code,170,sex offenses (except 02 and 160),,,,,,,,,,,,,,
3123 A3,idsi-unconscious victim,CC,crimes code,170,sex offenses (except 02 and 160),,,,,,,,,,,,,,
3123 A4,idsi-admin drug/intoxicant/other,CC,crimes code,170,sex offenses (except 02 and 160),,,,,,,,,,,,,,
3123 A5,idsi-mental ill/deficient victim,CC,crimes code,170,sex offenses (except 02 and 160),,,,,,,,,,,,,,
3123 A6,idsi-victim less than 13,CC,crimes code,170,sex offenses (except 02 and 160),,,,,,,,,,,,,,
3123 A7,idsi-victim less than 16 - offender 4 yrs older,CC,crimes code,170,sex offenses (except 02 and 160),,,,,,,,,,,,,,
3124.1,sexual assault,CC,crimes code,02A,rape by force,170,sex offenses (except 02 and 160),,,,,,,,,,,,
3124.2,institutional sexual assault,CC,crimes code,170,sex offenses (except 02 and 160),,,,,,,,,,,,,,
3125 1,aggrav indec asslt-w/o consent,CC,crimes code,170,sex offenses (except 02 and 160),,,,,,,,,,,,,,
3125 2,aggrav indec asslt-forcible compulsion,CC,crimes code,170,sex offenses (except 02 and 160),,,,,,,,,,,,,,
3125 3,aggrav indec asslt-threat force,CC,crimes code,170,sex offenses (except 02 and 160),,,,,,,,,,,,,,
3125 4,aggrav indec asslt-unconscious,CC,crimes code,170,sex offenses (except 02 and 160),,,,,,,,,,,,,,
3125 5,aggrav indec asslt-drug/intoxicant,CC,crimes code,170,sex offenses (except 02 and 160),,,,,,,,,,,,,,
3125 6,aggrav indec asslt-mental def,CC,crimes code,170,sex offenses (except 02 and 160),,,,,,,,,,,,,,
3125 7,aggrav indec asslt-less than 13,CC,crimes code,170,sex offenses (except 02 and 160),,,,,,,,,,,,,,
3125 8,aggrav indec asslt-less 16 gtr 4 yrs,CC,crimes code,170,sex offenses (except 02 and 160),,,,,,,,,,,,,,
3126 A1,indec asslt-w/0 cons of other,CC,crimes code,170,sex offenses (except 02 and 160),,,,,,,,,,,,,,
3126 A2,indec asslt-forcible compulsion,CC,crimes code,170,sex offenses (except 02 and 160),,,,,,,,,,,,,,
3126 A3,indec asslt-threat force,CC,crimes code,170,sex offenses (except 02 and 160),,,,,,,,,,,,,,
3126 A4,indec asslt-unconscious,CC,crimes code,170,sex offenses (except 02 and 160),,,,,,,,,,,,,,
3126 A5,indec asslt-drug/intoxicant,CC,crimes code,170,sex offenses (except 02 and 160),,,,,,,,,,,,,,
3126 A6,indec asslt-mental deficentcy,CC,crimes code,170,sex offenses (except 02 and 160),,,,,,,,,,,,,,
3126 A7,indec asslt-less than 13,CC,crimes code,170,sex offenses (except 02 and 160),,,,,,,,,,,,,,
3126 A8,indec asslt-less 16 gtr 4 yrs,CC,crimes code,170,sex offenses (except 02 and 160),,,,,,,,,,,,,,
3127,indecent exposure,CC,crimes code,170,sex offenses (except 02 and 160),,,,,,,,,,,,,,
3129,sexual intercourse with animal,CC,crimes code,170,sex offenses (except 02 and 160),,,,,,,,,,,,,,
3204 A1,abortion/medical consultation-medically necessary,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
3204 A2,abortion/medical consultation-medically necessary,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
3205 A,abortion/informed consent-required,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
3205 B,abortion/informed consent- emergncy,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
3206 A,abortion/parental consent-general,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
3210 A,abortion/ determination of gest age,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
3211 A,abortion on unborn child 24 or more weeks gest age,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
3211 C,abortion on ub 24+ wks gest age-further restricted,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
3212 B,abortion/infanticide-provide care for live birth,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
3213 A,abortion/prohibited acts-restrictions on payment,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
3213 A1,abortion/prohibited acts-restrictions on payment,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
3213 A2,abortion/prohibited acts-restrictions on payment,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
3213 B,abortion/prohibited acts-referral fee,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
3214 C,abortion/reporting-pathological exam,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
3214 E4,abortion/reporting-unauthorized disclosure,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
3214 I2,abortion/reporting-deliver/disclose false report,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
3215 F,abortion/public officer ordering,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
3215 G,abortion/public officer limiting benefits,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
3216 A,abortion/fetal experimentati/unborn or live child,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
3218 B1,abortion/crim penalties- false written statement,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
3218 B2,abortion/crim pen-reliance on unauthentic doc,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
3218 C,"abortion/crim pen-makes statements ""under penalty""",CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
3301 A1I,arson-danger of death/bodily inj,CC,crimes code,090,arson,,,,,,,,,,,,,,
3301 A1II,arson-inhabited building/struct,CC,crimes code,090,arson,,,,,,,,,,,,,,
3301 A2,arson-cause death,CC,crimes code,090,arson,,,,,,,,,,,,,,
3301 C1,arson-intent destroy unocc bldg,CC,crimes code,090,arson,,,,,,,,,,,,,,
3301 C2,arson-recklessly place inhabited bldg in danger,CC,crimes code,090,arson,,,,,,,,,,,,,,
3301 C3,arson-intent collect insurance,CC,crimes code,090,arson,,,,,,,,,,,,,,
3301 D.1,arson-dangerous burning endangering person or prop,CC,crimes code,090,arson,,,,,,,,,,,,,,
3301 D1,arson-recklessly placing uninhabited bldg danger,CC,crimes code,090,arson,,,,,,,,,,,,,,
3301 D2,arson-personal property excs $5000 or mv,CC,crimes code,090,arson,,,,,,,,,,,,,,
3301 E1,arson-failure to control/duty,CC,crimes code,090,arson,,,,,,,,,,,,,,
3301 E2,arson-fail to control/rpt danger fire,CC,crimes code,090,arson,,,,,,,,,,,,,,
3301 F,arson-possess exsplosive/incen mat with intent,CC,crimes code,090,arson,,,,,,,,,,,,,,
3301 G,arson-fail disclose true owner propty,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
3302 A,causing catastrophe,CC,crimes code,090,arson,260,all other offenses (except traffic),,,,,,,,,,,,
3302 B,risking catastrophe,CC,crimes code,090,arson,260,all other offenses (except traffic),,,,,,,,,,,,
3303 1,fail to prevent catastrophe-duty,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
3303 2,fail to prev catast-did/assent,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
3304 A1,crim mis-general,CC,crimes code,090,arson,140,vandalism,,,,,,,,,,,,
3304 A2,crim mis-tampers to endanger person/property,CC,crimes code,090,arson,140,vandalism,,,,,,,,,,,,
3304 A3,criminal misch-deception or threat,CC,crimes code,140,vandalism,,,,,,,,,,,,,,
3304 A4,criminal misch-paint or marker,CC,crimes code,140,vandalism,,,,,,,,,,,,,,
3305,injure/tamper fire apparatus,CC,crimes code,140,vandalism,,,,,,,,,,,,,,
3306,unauthor use/open fire hydrant,CC,crimes code,140,vandalism,,,,,,,,,,,,,,
3307 A.1,inst vand-illegal possession w/intent,CC,crimes code,140,vandalism,,,,,,,,,,,,,,
3307 A1,inst vand-place worship,CC,crimes code,140,vandalism,,,,,,,,,,,,,,
3307 A2,inst vand-cemetery etc,CC,crimes code,140,vandalism,,,,,,,,,,,,,,
3307 A3,inst vand-educ facil,CC,crimes code,140,vandalism,,,,,,,,,,,,,,
3307 A4,inst vand-adj ground,CC,crimes code,140,vandalism,,,,,,,,,,,,,,
3307 A5,inst vand-persnal property,CC,crimes code,140,vandalism,,,,,,,,,,,,,,
3309 A,agricultural vandalism,CC,crimes code,140,vandalism,,,,,,,,,,,,,,
3310 A,agricultural crop destruction,CC,crimes code,140,vandalism,,,,,,,,,,,,,,
3502 A,burglary,CC,crimes code,05A,burglary forcible entry,05b,burglary unlawful entry - no force,05c,burglary attempted forcible entry,,,,,,,,,,
3503 A1I,crim tres-enter structure,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
3503 A1II,crim tres-break into structure,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
3503 B.11I,crim tres-simple trespass/to threaten,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
3503 B.11II,crim tres-simple trespass/to start fire,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
3503 B.11III,crim tres-simple trespass/to deface/damage,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
3503 B.21I,crim tres-agricultural tres/ignore posting/fence,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
3503 B.21II,crim tres-agricultural tres/ignores actual comm,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
3503 B1I,crim tres-defiant tres/actual communication to,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
3503 B1II,crim tres-defiant tres/posted,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
3503 B1III,crim tres-defiant tres/fence or enclosure,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
3701 A1II,robbery-threat immed ser injury,CC,crimes code,03A,robbery firearm,03b,robbery knife or cutting instrument,03c,robbery other dangerous weapon,03d,"robbery strong arm(hands, feet, etc.)",,,,,,,,
3701 A1III,robbery-commit/threat 1st/2nd degree felony,CC,crimes code,03A,robbery firearm,03b,robbery knife or cutting instrument,03c,robbery other dangerous weapon,03d,"robbery strong arm(hands, feet, etc.)",,,,,,,,
3701 A1IV,robbery-inflict/threat bodily inj,CC,crimes code,03A,robbery firearm,03b,robbery knife or cutting instrument,03c,robbery other dangerous weapon,03d,"robbery strong arm(hands, feet, etc.)",,,,,,,,
3701 A1L,robbery-inflict ser body injury,CC,crimes code,03A,robbery firearm,03b,robbery knife or cutting instrument,03c,robbery other dangerous weapon,03d,"robbery strong arm(hands, feet, etc.)",,,,,,,,
3701 A1V,robbery-by force however slight,CC,crimes code,03A,robbery firearm,03b,robbery knife or cutting instrument,03c,robbery other dangerous weapon,03d,"robbery strong arm(hands, feet, etc.)",,,,,,,,
3702 A,robbery of motor veh-general,CC,crimes code,03A,robbery firearm,03b,robbery knife or cutting instrument,03c,robbery other dangerous weapon,03d,"robbery strong arm(hands, feet, etc.)",,,,,,,,
3731 A1,dui-incapable of safe driving,VC,vehicle code,210,driving under the influence,,,,,,,,,,,,,,
3731 A2,dui-influence of controlled sub,VC,vehicle code,210,driving under the influence,,,,,,,,,,,,,,
3731 A3,dui-combined influence of alc/drugs,VC,vehicle code,210,driving under the influence,,,,,,,,,,,,,,
3731 A4I,dui-bac over .10/adult,VC,vehicle code,210,driving under the influence,,,,,,,,,,,,,,
3731 A4II,dui-bac over .02/minor,VC,vehicle code,210,driving under the influence,,,,,,,,,,,,,,
3921 A,theft by unlaw taking-movable,CC,crimes code,060,larceny -theft,07a,motor vehicle theft - autos,07b,motor vehicle theft - trucks and buses,07c,motor vehicle theft - other vehicles,,,,,,,,
3921 B,theft by unlaw taking-immovable,CC,crimes code,060,larceny -theft,,,,,,,,,,,,,,
3922 A1,theft py decept-false impression,CC,crimes code,110,fraud,,,,,,,,,,,,,,
3922 A2,theft by decept-prevent acquiring info,CC,crimes code,110,fraud,,,,,,,,,,,,,,
3922 A3,theft by decept-fail to correct false impression,CC,crimes code,110,fraud,,,,,,,,,,,,,,
3923 A1,theft extort-threat commit another crime,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
3923 A2,theft extort-threat to accuse another,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
3923 A3,theft extort-expose secret,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
3923 A4,theft extort-take or w/hold action as official,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
3923 A5,"theft extort-bring about strike, etc",CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
3923 A6,theft extort-testify or w/hold testimony,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
3923 A7,theft extort-inflict other harm,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
3924,theft property lost etc py mistake,CC,crimes code,060,larceny -theft,,,,,,,,,,,,,,
3925 A,receiving-stolen property,CC,crimes code,130,"stolen prop., rec., posses., buying",,,,,,,,,,,,,,
3926 A1,theft of servces-acquisition of service,CC,crimes code,110,fraud,,,,,,,,,,,,,,
3926 A1.1,theft of services-telecomm. service,CC,crimes code,110,fraud,,,,,,,,,,,,,,
3926 B,theft of services-diversion of services,CC,crimes code,110,fraud,,,,,,,,,,,,,,
